Depth (mm),d18o (per mil),age_model
182,-5.54,12.888888373333334
183,-5.6,12.944443926666667
184,-5.6,12.99999948
185,-5.63,13.065475667857143
186,-5.54,13.130951855714285
187,-5.4,13.196428043571428
188,-5.33,13.261904231428572
189,-5.32,13.327380419285713
190,-5.3,13.392856607142857
191,-4.97,13.458332795
192,-4.75,13.523808982857142
193,-4.82,13.589285170714286
194,-4.99,13.654761358571427
195,-5.13,13.72023754642857
196,-5.12,13.785713734285714
197,-5.04,13.851189922142856
198,-5.35,13.91666611
199,-5.16,13.994047059285714
200,-5.11,14.071428008571429
201,-4.93,14.148808957857142
202,-4.97,14.226189907142857
203,-5.2,14.303570856428571
204,-5.15,14.380951805714286
205,-4.88,14.458332755
206,-4.98,14.535713704285714
207,-4.9,14.613094653571428
208,-5.07,14.690475602857143
209,-5.25,14.767856552142858
210,-5.33,14.84523750142857
211,-5.12,14.922618450714285
212,-5.34,14.9999994
213,-5.35,15.066666064
214,-5.21,15.133332728000001
215,-5.24,15.199999392
216,-5.12,15.266666056
217,-5.12,15.33333272
218,-5.06,15.399999384000001
219,-5.02,15.466666048
220,-5.2,15.533332712
221,-5.14,15.599999376
222,-5.29,15.66666604
223,-5.32,15.733332704
224,-5.28,15.799999368
225,-5.4,15.866666032
226,-5.36,15.933332696
227,-5.41,15.99999936
228,-5.5,16.076922433846153
229,-5.28,16.153845507692306
230,-5.22,16.230768581538463
231,-5.2,16.307691655384616
232,-5.21,16.38461472923077
233,-5.14,16.461537803076922
234,-5.22,16.53846087692308
235,-5.21,16.615383950769232
236,-5.24,16.692307024615385
237,-5.34,16.769230098461538
238,-5.49,16.846153172307694
239,-5.37,16.923076246153848
240,-5.72,16.99999932
241,-5.49,17.035255728846153
242,-5.4,17.070512137692308
243,-5.45,17.105768546538464
244,-5.32,17.141024955384616
245,-5.3,17.176281364230768
246,-5.42,17.211537773076923
247,-5.41,17.24679418192308
248,-5.42,17.28205059076923
249,-5.26,17.317306999615383
250,-5.18,17.35256340846154
251,-5.24,17.387819817307694
252,-5.23,17.423076226153846
253,-5.09,17.458332634999998
254,-5.2,17.493589043846153
255,-5.21,17.52884545269231
256,-5.21,17.56410186153846
257,-5.23,17.599358270384613
262,-5.11,17.775640314615384
263,-5.44,17.81089672346154
264,-5.47,17.84615313230769
265,-5.45,17.881409541153843
266,-5.36,17.91666595
267,-5.4,17.99358902384615
268,-5.46,18.070512097692305
269,-5.31,18.14743517153846
270,-5.29,18.224358245384614
271,-5.02,18.301281319230768
272,-5.1,18.37820439307692
273,-5.18,18.455127466923077
274,-5.04,18.53205054076923
275,-5.25,18.608973614615383
276,-5.18,18.685896688461536
277,-5.18,18.762819762307693
278,-5.36,18.839742836153846
279,-5.62,18.91666591
280,-5.41,19.037036275555554
281,-5.18,19.15740664111111
282,-5.32,19.277777006666668
283,-5.19,19.398147372222223
284,-5.03,19.518517737777778
285,-5.11,19.638888103333333
286,-5.16,19.75925846888889
287,-5.15,19.879628834444446
288,-5.29,19.9999992
